Dataset Name,Algorithm Name,Cross Validation,Hyper Parameters,Mean Squared Error,Mean Absolute Error,Median Absolute Error,r2 Score,Explained Variance Score,Training Time,Inference Time
Acorns.csv,xbart,1,num_trees:50 num_sweeps:60 burnin:5,3.1414116503920777,1.3043837774589453,0.9036445137983272,-0.07697849595614392,0.15742871035057615,313.22216987609863,369.72761154174805
Acorns.csv,xbart,2,num_trees:150 num_sweeps:60 burnin:20,3.7573828454930935,1.6601116459607348,1.4574527112995657,-0.08536063419190287,0.07240458521733284,544.3711280822754,582.3969841003418
Acorns.csv,xbart,3,num_trees:30 num_sweeps:60 burnin:15,62.13862848636866,5.782406442493388,3.3757475750921366,-0.3837219465030386,-0.017634296201652022,168.63656044006348,417.35172271728516
Acorns.csv,xbart,4,num_trees:100 num_sweeps:21 burnin:5,0.9942560042619948,0.9382192476430302,0.9800889622555484,-0.13386287014910314,-0.056166223217896105,179.8264980316162,344.99168395996094
Acorns.csv,xbart,5,num_trees:50 num_sweeps:30 burnin:10,19.597166819939904,3.3261646958378197,2.137228175329146,-0.7856188446414492,-0.012453766916055153,152.8029441833496,403.7618637084961
Acorns.csv,xbart,6,num_trees:100 num_sweeps:40 burnin:5,3.1738707420354477,1.7211071855779019,1.7929953700857002,-36.339655788652315,-1.4901270327948382,279.85095977783203,386.95335388183594
Acorns.csv,xbart,7,num_trees:100 num_sweeps:40 burnin:10,3.9739506249746284,1.9501892927028055,1.783095387508845,0.0762282435043723,0.16862844111662556,282.0272445678711,384.5691680908203
Acorns.csv,xbart,8,num_trees:100 num_sweeps:60 burnin:20,13.917248625302044,2.7931826429279116,2.497081792516743,-0.8283601117073054,0.066014854270804,382.0829391479492,432.4913024902344
Acorns.csv,xbart,9,num_trees:100 num_sweeps:60 burnin:5,13.424025853804663,2.5870854966440158,1.4906264091975405,-0.12476127807328541,-0.05689748775260073,379.14156913757324,437.4384880065918
Acorns.csv,xbart,10,num_trees:150 num_sweeps:21 burnin:5,1.3034614037130428,1.0920770383979557,1.2975709255654935,-0.17546619573320488,-0.1436055858100973,236.52315139770508,467.4593607584635
Admission_Predict_kaggle.csv,xbart,1,num_trees:30 num_sweeps:40 burnin:5,0.004428262778177243,0.04708845372751084,0.03421632822891407,0.6520969067745164,0.6520979717272324,532.0837497711182,50.008296966552734
Admission_Predict_kaggle.csv,xbart,2,num_trees:150 num_sweeps:30 burnin:15,0.007802370333544237,0.0651788850188082,0.040297360176980546,0.7068974961513625,0.7325564639035236,2133.5854530334473,116.41383171081543
Admission_Predict_kaggle.csv,xbart,3,num_trees:30 num_sweeps:30 burnin:10,0.006092333148333497,0.05572252832140325,0.03987738788478795,0.6915576941080592,0.6915943622442051,409.78312492370605,45.07899284362793
Admission_Predict_kaggle.csv,xbart,4,num_trees:50 num_sweeps:21 burnin:10,0.003836987054733158,0.045986981375502126,0.03603608741403225,0.834355592525766,0.8345016904838065,492.9938316345215,47.76716232299805
Admission_Predict_kaggle.csv,xbart,5,num_trees:30 num_sweeps:30 burnin:5,0.004650275295554706,0.051447634099762406,0.04190313328224715,0.7406707838706941,0.7678358851340112,409.5938205718994,44.97170448303223
Admission_Predict_kaggle.csv,xbart,6,num_trees:50 num_sweeps:40 burnin:15,0.0060569205745719,0.05452719804718056,0.03644460915438941,0.7896167515274425,0.797547513067878,875.7734298706055,64.22996520996094
Admission_Predict_kaggle.csv,xbart,7,num_trees:50 num_sweeps:60 burnin:15,0.0021905284564088133,0.03750704898319093,0.031236753167995956,0.8669988793923004,0.8733600845319363,1331.211805343628,80.53779602050781
Admission_Predict_kaggle.csv,xbart,8,num_trees:100 num_sweeps:21 burnin:10,0.006530894245271521,0.05974951402991422,0.04728367067242045,0.5474693369984784,0.5758228623029616,979.9318313598633,69.27251815795898
Admission_Predict_kaggle.csv,xbart,9,num_trees:30 num_sweeps:40 burnin:20,0.0022554151125584025,0.037299670741281134,0.03015973075319056,0.8573374218685261,0.8610777105275705,542.2277450561523,49.85928535461426
Admission_Predict_kaggle.csv,xbart,10,num_trees:150 num_sweeps:60 burnin:10,0.006400523508987492,0.05562407233670602,0.032626430723256994,0.724411593831523,0.748953144345815,4110.865116119385,206.29167556762695
analcatdata_birthday.csv,xbart,1,num_trees:50 num_sweeps:60 burnin:20,84525059.39047936,9175.466034309768,9244.878511066236,-250.64503647785108,2.2592016282518834e-05,694.7841644287109,88.01511816076331
analcatdata_birthday.csv,xbart,2,num_trees:100 num_sweeps:30 burnin:10,81752309.64064209,9010.389259189129,9090.375017793507,-143.6353140669283,6.296743947065142e-05,693.6824321746826,94.74883208403718
analcatdata_birthday.csv,xbart,3,num_trees:50 num_sweeps:60 burnin:5,83473467.74443263,9087.739402943298,9225.048175764867,-93.15974279117239,5.50471077351844e-05,698.1651782989502,87.86691201699746
analcatdata_birthday.csv,xbart,4,num_trees:30 num_sweeps:21 burnin:15,87083524.52039371,9284.593301642646,9524.97437746712,-97.96621901108244,9.099513713695107e-05,205.55853843688965,43.71436866554054
analcatdata_birthday.csv,xbart,5,num_trees:100 num_sweeps:60 burnin:15,83115003.22191118,9081.096798487719,9046.963579008905,-127.11980168900033,6.879008305349377e-05,1320.5392360687256,151.38935398411107
analcatdata_birthday.csv,xbart,6,num_trees:150 num_sweeps:60 burnin:15,86241891.74229114,9240.95112768853,9303.02644645943,-100.85166689354378,3.083962544958574e-05,1937.4923706054688,226.98111004299588
