Dataset Name,Algorithm Name,Cross Validation,Hyper Parameters,Mean Squared Error,Mean Absolute Error,Median Absolute Error,r2 Score,Explained Variance Score,Training Time,Inference Time
analcatdata_apnea1.csv,MERCS,1,nb_iterations:10 regressor_algorithm:lgbm max_depth:12,2943684.643,930.0343197,313.7522516,0.683818776,0.689832244,3726.391554,209.4010512
analcatdata_apnea1.csv,MERCS,2,nb_iterations:5 regressor_algorithm:xgb max_depth:12,732938.0261,368.1427488,89.04892731,0.891638397,0.891643035,5306.816816,103.1905413
analcatdata_apnea1.csv,MERCS,3,nb_iterations:5 regressor_algorithm:RF max_depth:6,2106127.027,628.6033202,70.35689801,0.726726792,0.727030654,6805.064678,1001.740495
analcatdata_apnea1.csv,MERCS,4,nb_iterations:5 regressor_algorithm:RF max_depth:6,889534.0562,421.0598814,78.32298711,0.932659775,0.934981489,6560.280561,1438.364387
analcatdata_apnea1.csv,MERCS,5,nb_iterations:5 regressor_algorithm:RF max_depth:6,1070296.041,330.4830075,24.73508499,0.94088986,0.944501978,7292.669058,1627.39555
analcatdata_apnea1.csv,MERCS,6,nb_iterations:5 regressor_algorithm:RF max_depth:6,761750.7181,316.8291052,38.07201186,0.930996744,0.931003188,6911.179304,948.5914352
analcatdata_apnea1.csv,MERCS,7,nb_iterations:5 regressor_algorithm:RF max_depth:6,79660.15688,166.0103823,40.66427391,0.989175434,0.989193429,6832.864285,1488.437044
analcatdata_apnea1.csv,MERCS,8,nb_iterations:5 regressor_algorithm:RF max_depth:6,211959.5565,168.4282037,39.60351803,0.860938382,0.863257919,7216.1479,716.4529029
analcatdata_apnea1.csv,MERCS,9,nb_iterations:5 regressor_algorithm:RF max_depth:6,1009913.848,334.1825322,79.82037473,0.946376064,0.946777424,7058.302641,710.9591301
analcatdata_apnea1.csv,MERCS,10,nb_iterations:5 regressor_algorithm:RF max_depth:6,882567.7104,408.465405,60.03896483,0.863623357,0.864652132,7361.990929,1767.828109
analcatdata_birthday.csv,MERCS,1,nb_iterations:5 regressor_algorithm:lgbm max_depth:12,155895.3064,321.3054462,235.9042847,0.754803245,0.761025944,3364.278555,0
analcatdata_birthday.csv,MERCS,2,nb_iterations:5 regressor_algorithm:RF max_depth:6,114091.9107,247.8273809,163.046212,0.819502309,0.820112332,7238.373518,876.3880343
analcatdata_birthday.csv,MERCS,3,nb_iterations:5 regressor_algorithm:RF max_depth:6,157313.5704,277.4900872,203.1361364,0.743966598,0.745088058,6970.942974,1020.321975
analcatdata_birthday.csv,MERCS,4,nb_iterations:5 regressor_algorithm:RF max_depth:6,108718.6452,255.1607435,169.2251726,0.842528345,0.843125149,6873.732328,2455.099209
analcatdata_birthday.csv,MERCS,5,nb_iterations:5 regressor_algorithm:RF max_depth:6,90117.37855,233.2975117,216.3594041,0.844208595,0.845751592,6758.472919,915.1729378
analcatdata_birthday.csv,MERCS,6,nb_iterations:5 regressor_algorithm:RF max_depth:6,156039.8392,261.8726602,170.7742952,0.755238778,0.767404891,6887.933254,869.1019482
analcatdata_birthday.csv,MERCS,7,nb_iterations:5 regressor_algorithm:RF max_depth:6,210244.1807,291.8554264,182.8710756,0.649029936,0.65138155,6807.305098,1041.564676
analcatdata_birthday.csv,MERCS,8,nb_iterations:5 regressor_algorithm:RF max_depth:6,85379.5722,227.7536663,222.1323523,0.855354548,0.861555786,6509.213924,1301.791933
analcatdata_birthday.csv,MERCS,9,nb_iterations:5 regressor_algorithm:RF max_depth:6,161555.3299,290.3768219,260.6962603,0.814881253,0.816426806,7029.141426,1501.136356
analcatdata_birthday.csv,MERCS,10,nb_iterations:5 regressor_algorithm:RF max_depth:6,127523.357,269.3093191,193.3206199,0.820065716,0.822586018,7006.150007,1109.845108
